username,password,areaid
bike1,pbkdf2_sha256$216000$RQV9Hit0kBlI$LquGi/LtDqCqywFSrATpFTpWH+cXoIJGYA2mWiZBDcs=,1
bike2,pbkdf2_sha256$216000$cVwhMiPeUcxz$W2ucxWxXeBNzTCjNFYy3m0Z3OgDCaMs1mi1kXS4fTMY=,2
bike3,pbkdf2_sha256$216000$9EbENsnsgyoI$NZI2RVZvVeQyC6v6L3xvwztDSUr/yJFZ1xwhipbXq0k=,3
bike4,pbkdf2_sha256$216000$lJRmOzqjzbZd$FXVgphugJ/lcRMm91eA70q2NWcazVK54ivLpTRvujZg=,4
bike5,pbkdf2_sha256$216000$3SwuvOcjMELl$MOn3FL6vhbztIaqfwEBEgcLcZp6mgYxA++Ab7n0uzII=,5
bike6,pbkdf2_sha256$216000$I1307fGWNoYC$3Two8XpJs4YCfEP28blZG88CzCiVQS64hIUNV9XCLMs=,6
bike7,pbkdf2_sha256$216000$ymne2Q0Yrb0z$Q5XeDFDCLyajYxtGPQoSUBqQuBnotq5oNiUkQ1s/yPE=,7
bike8,pbkdf2_sha256$216000$ysG98AMSMAmV$pWLWM5t1Ecldg2HBI2QlhUqZc/NaOQqsW1xX3kzIOiM=,8
bike9,pbkdf2_sha256$216000$q4pid4N35J3v$EaIN1xzcnFm3BeFZoMZyScRPVksysa+84zZMWGADUfM=,9
bike10,pbkdf2_sha256$216000$SBcPio0Xu2Cw$jO0I+mwZ0npf/rph1TxXpDNqhVfB0E+uCjkq9twoGuE=,10
bike11,pbkdf2_sha256$216000$R0enNJJfEoDb$17nf1RgQyC4yPfLuAB9FFWqtxO3jCGusXhQtVF+6nKU=,11
bike12,pbkdf2_sha256$216000$EZwEjntgHl66$7hMjb81dM6aUK7uEeOctgF7ehjr8gI/ugsCC18kMEG8=,12
bike13,pbkdf2_sha256$216000$az4ogtJopdIM$m93n+NhI8KRs9mOGQOSG163Sb0hcxhK0u3A8/9qandE=,13
bike14,pbkdf2_sha256$216000$XlFImORf6FlC$lDTWHD9GdyVESmQw8uzwJYE3J6tgkn0SAgviDTcElsw=,14
bike15,pbkdf2_sha256$216000$g25aGHg1Skbi$gz8mdoezUZNgT8Yc4JJ73eTzanTTRkrYKKDAWFqB7H4=,15
bike16,pbkdf2_sha256$216000$iU4MDX21RFq5$+ocU89Hpx+wepGmcgMsxi5/3xVbYfXJncH8RcLT0AJg=,16
bike17,pbkdf2_sha256$216000$wdGgcO7IQcYm$mk+c2qLElfa/UuDkxvdRbcz5L9vW3cpPgxz1+3IqK9Q=,17
bike18,pbkdf2_sha256$216000$3dyuVAyWP21I$B3M2yfUW1x+dj4r4hvGoZcJt2JBph8/TjMwdK5fMAXk=,18
bike19,pbkdf2_sha256$216000$6ONwDOWAXxuo$x02EtSQV1buX9T+KgtvVOHGToK2B+YXSgNLshjArK0w=,19
bike20,pbkdf2_sha256$216000$imQ6rxfjR6GI$AxS0DP1GQRtn4J+61In7pQxJYeprRNSe2UilzK/bVSU=,20
bike21,pbkdf2_sha256$216000$2lhXmnbL1iWS$nJuPeewi4qoQhgKzXxzmdEltfxwUkB/ogSc6vp5jfnk=,21
bike22,pbkdf2_sha256$216000$GTtVuEWfij0G$cijY2mqiEAv1zSSGyBLgs+6BGiuitK2kDshIjfLFL0U=,22
bike23,pbkdf2_sha256$216000$OElGcEP8Vchp$+TpdHhAbsIlHNc8V+iDr2IvwIVsu8HQCqTsRhoD/IC8=,23
bike24,pbkdf2_sha256$216000$tJNm7O8pmn81$edxNLEkppT6+S02QbUMtU6DiOXY/efu0/zy+3VlM+Sw=,24
bike25,pbkdf2_sha256$216000$3wVlztWLcj4E$BqUtDaHk+9bqEDgO4v4MJSybiOk7AtxvYBzzNb6f00I=,25
bike26,pbkdf2_sha256$216000$cdKPYuc8pIuA$46HxvR81VVr1xdpJPfcFKmiUxKuGm8vifKGToSZGiMI=,26
bike27,pbkdf2_sha256$216000$HgClBJmdS47I$azfLXhwPc3vzRCi689YlDb4SKhqfjzmUTN3Mp2PTIh8=,27
bike28,pbkdf2_sha256$216000$0CN8jtlOV7s7$YdhRaMsE/5e1XzzQ69tDZblXMqex21T04LEPPJAuiV4=,28
bike29,pbkdf2_sha256$216000$v1hF4njoiEbq$6OQn7EBt/VkxOTySMufW/UhJXatI7hj3pEWxHTYv4PA=,29
bike30,pbkdf2_sha256$216000$A1JzJnRmObXr$A+iNxxPYm+qWBVcmbl62EnEDVYG2A9D/LsL6UA8QCb0=,30
bike31,pbkdf2_sha256$216000$7EIfYaegpymJ$ZZyVwT5Njuo5UmtUceM+SAa3gGRmfJ0lnHtIWh2vYRk=,31
bike32,pbkdf2_sha256$216000$bTetI3ZnXtV3$PN0tBAie/i2wx+PgvNDjgwCHh7wprT5UXOlpMt+bXAQ=,32
bike33,pbkdf2_sha256$216000$8rXbScdyNrcG$s7eubFLxzfeOATGImSHLr1+aA/Bn6QTDyjpM6pojgbI=,33
bike34,pbkdf2_sha256$216000$jeuiuFrB6pfX$3CClEjU4qct1XvIo/eaivFCxxGh7tWJbzeSRIKCZ5QI=,34
bike35,pbkdf2_sha256$216000$o8s6gUJzP2le$bRu/bThdhbWgbBuEDkHXAcMbZ7bncwiIjkMp0n3kVVU=,35
bike36,pbkdf2_sha256$216000$UhRoz6RzgF8O$Tao1Hi7CvSmwrh0ryW5MRELJrrsg+UEh5th0SzC35oY=,36
